time,nuts,dmd,scenario,gcm,rcm,ensemble,model
1996-01-01,EL64,3.880645834542737,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1997-01-01,EL64,1.3209275684327213,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1998-01-01,EL64,3.341542949985314,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
1999-01-01,EL64,1.8079884348672202,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2000-01-01,EL64,0.7747246030805384,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2001-01-01,EL64,4.189382636889807,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2002-01-01,EL64,2.246223703655933,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2003-01-01,EL64,2.6039119599746763,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2004-01-01,EL64,0.0,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2005-01-01,EL64,0.24530653447230674,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2006-01-01,EL64,1.4151196896983804,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2007-01-01,EL64,5.397667484101968,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2008-01-01,EL64,2.472307695193797,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2009-01-01,EL64,2.5859984658826307,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2010-01-01,EL64,1.2072428990147603,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
2011-01-01,EL64,0.8684615309128859,RCP4_5,ec_earth,hirham5,r3i1p1,ec_earth_hirham5_rcp4_5_r3i1p1
