time,nuts,dmd,scenario,model
1951-01-01,EL64,0.09426329087715912,rcp8_5,earth_hirham5_rcp8_5
1951-01-01,EL64,0.03794174842860054,rcp4_5,earth_racmo22e_rcp4_5
1951-01-01,EL64,0.09426329087715912,rcp8_5,earth_hirham5_rcp8_5
1951-01-01,EL64,0.09426329087715912,rcp8_5,earth_hirham5_rcp8_5
1951-01-01,EL64,0.5848749376433686,rcp8_5,m_hirham5_rcp8_5
1951-01-01,EL64,0.09419785511569044,rcp4_5,earth_hirham5_rcp4_5
1951-01-01,EL64,1.4512227667999111,cclm4_8,esm_lr_cclm4_8
1951-01-01,EL64,1.3561030608823292,cclm4_8,esm_lr_cclm4_8
1951-01-01,EL64,2.339834450345318,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1951-01-01,EL64,3.2204008381138003,rcp8_5,es_racmo22e_rcp8_5
1951-01-01,EL64,0.03794174842860054,rcp8_5,earth_racmo22e_rcp8_5
1951-01-01,EL64,0.5848749376433686,rcp8_5,m_hirham5_rcp8_5
1951-01-01,EL64,2.62222380371771,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1951-01-01,EL64,2.62222380371771,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1951-01-01,EL64,1.6060163198305522,historical,reanalysis
1951-01-01,EL64,3.7299251019158035,rcp4_5,es_racmo22e_rcp4_5
1951-01-01,EL64,2.62222380371771,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1951-01-01,EL64,3.7299251019158035,rcp4_5,es_racmo22e_rcp4_5
1951-01-01,EL64,0.09419785511569044,rcp4_5,earth_hirham5_rcp4_5
1951-01-01,EL64,3.7299251019158035,rcp4_5,es_racmo22e_rcp4_5
1951-01-01,EL64,2.339834450345318,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1951-01-01,EL64,0.09419785511569044,rcp4_5,earth_hirham5_rcp4_5
1951-01-01,EL64,0.4338302555785426,rcp4_5,m_hirham5_rcp4_5
1951-01-01,EL64,0.4338302555785426,rcp4_5,m_hirham5_rcp4_5
1951-01-01,EL64,0.4338302555785426,rcp4_5,m_hirham5_rcp4_5
1951-01-01,EL64,0.03794174842860054,rcp8_5,earth_racmo22e_rcp8_5
1951-01-01,EL64,1.3561030608823292,cclm4_8,esm_lr_cclm4_8
1951-01-01,EL64,3.2204008381138003,rcp8_5,es_racmo22e_rcp8_5
1951-01-01,EL64,2.62222380371771,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1951-01-01,EL64,0.03794174842860054,rcp8_5,earth_racmo22e_rcp8_5
1951-01-01,EL64,2.339834450345318,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1951-01-01,EL64,0.4338302555785426,rcp4_5,m_hirham5_rcp4_5
1951-01-01,EL64,0.09419785511569044,rcp4_5,earth_hirham5_rcp4_5
1951-01-01,EL64,3.2204008381138003,rcp8_5,es_racmo22e_rcp8_5
1951-01-01,EL64,0.09426329087715912,rcp8_5,earth_hirham5_rcp8_5
1951-01-01,EL64,1.3561030608823292,cclm4_8,esm_lr_cclm4_8
1951-01-01,EL64,1.6060163198305522,historical,reanalysis
1951-01-01,EL64,1.6060163198305522,historical,reanalysis
1951-01-01,EL64,1.4512227667999111,cclm4_8,esm_lr_cclm4_8
1951-01-01,EL64,1.4512227667999111,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,2.074110263783229,rcp4_5,es_racmo22e_rcp4_5
1952-01-01,EL64,2.2439280780662125,rcp8_5,es_racmo22e_rcp8_5
1952-01-01,EL64,1.6581996010622941,rcp8_5,earth_hirham5_rcp8_5
1952-01-01,EL64,2.2439280780662125,rcp8_5,es_racmo22e_rcp8_5
1952-01-01,EL64,0.9984906645482325,rcp4_5,earth_hirham5_rcp4_5
1952-01-01,EL64,2.2439280780662125,rcp8_5,es_racmo22e_rcp8_5
1952-01-01,EL64,2.2439280780662125,rcp8_5,es_racmo22e_rcp8_5
1952-01-01,EL64,1.0205503282847754,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1952-01-01,EL64,1.0205503282847754,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1952-01-01,EL64,1.0205503282847754,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1952-01-01,EL64,0.3018240330620473,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,1.02081422590698,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1952-01-01,EL64,0.41453004422945616,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,0.3018240330620473,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,1.02081422590698,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1952-01-01,EL64,1.02081422590698,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1952-01-01,EL64,1.9044840939424372,historical,reanalysis
1952-01-01,EL64,0.41453004422945616,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,1.02081422590698,wrf381p_rcp8,cm5a_mr_wrf381p_rcp8
1952-01-01,EL64,1.9044840939424372,historical,reanalysis
1952-01-01,EL64,1.0205503282847754,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
1952-01-01,EL64,0.9984906645482325,rcp4_5,earth_hirham5_rcp4_5
1952-01-01,EL64,0.41453004422945616,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,2.074110263783229,rcp4_5,es_racmo22e_rcp4_5
1952-01-01,EL64,2.9418336761439403,rcp8_5,m_hirham5_rcp8_5
1952-01-01,EL64,1.9044840939424372,historical,reanalysis
1952-01-01,EL64,1.6581996010622941,rcp8_5,earth_hirham5_rcp8_5
1952-01-01,EL64,1.6581996010622941,rcp8_5,earth_hirham5_rcp8_5
1952-01-01,EL64,0.9227991683280881,rcp4_5,earth_racmo22e_rcp4_5
1952-01-01,EL64,1.6581996010622941,rcp8_5,earth_hirham5_rcp8_5
1952-01-01,EL64,2.9418336761439403,rcp8_5,m_hirham5_rcp8_5
1952-01-01,EL64,0.9227991683280881,rcp4_5,earth_racmo22e_rcp4_5
1952-01-01,EL64,0.9227991683280881,rcp4_5,earth_racmo22e_rcp4_5
1952-01-01,EL64,0.9227991683280881,rcp4_5,earth_racmo22e_rcp4_5
1952-01-01,EL64,2.9418336761439403,rcp8_5,m_hirham5_rcp8_5
1952-01-01,EL64,0.8286681861977422,rcp8_5,earth_racmo22e_rcp8_5
1952-01-01,EL64,0.8286681861977422,rcp8_5,earth_racmo22e_rcp8_5
1952-01-01,EL64,0.9984906645482325,rcp4_5,earth_hirham5_rcp4_5
1952-01-01,EL64,2.9418336761439403,rcp8_5,m_hirham5_rcp8_5
1952-01-01,EL64,2.4138727958415283,rcp4_5,m_hirham5_rcp4_5
1952-01-01,EL64,0.8286681861977422,rcp8_5,earth_racmo22e_rcp8_5
1952-01-01,EL64,0.8286681861977422,rcp8_5,earth_racmo22e_rcp8_5
1952-01-01,EL64,2.4138727958415283,rcp4_5,m_hirham5_rcp4_5
1952-01-01,EL64,2.4138727958415283,rcp4_5,m_hirham5_rcp4_5
1952-01-01,EL64,0.9984906645482325,rcp4_5,earth_hirham5_rcp4_5
1952-01-01,EL64,2.4138727958415283,rcp4_5,m_hirham5_rcp4_5
1952-01-01,EL64,2.074110263783229,rcp4_5,es_racmo22e_rcp4_5
1952-01-01,EL64,0.3018240330620473,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,1.9044840939424372,historical,reanalysis
1952-01-01,EL64,2.074110263783229,rcp4_5,es_racmo22e_rcp4_5
1952-01-01,EL64,0.3018240330620473,cclm4_8,esm_lr_cclm4_8
1952-01-01,EL64,0.41453004422945616,cclm4_8,esm_lr_cclm4_8
1953-01-01,EL64,3.261252623985719,cclm4_8,esm_lr_cclm4_8
1953-01-01,EL64,0.5871098065914278,wrf381p_rcp4,cm5a_mr_wrf381p_rcp4
