year,agricultural,forest,urban,water
1990,33.279218700450855,62.71558972002179,1.252793883361729,1.0670834320498048
2000,33.25715299678161,62.50430097771454,1.5104216197040736,1.0558607601140777
2006,32.44672816438746,62.442878535587866,2.1819342735769545,1.1090555148475527
2012,31.755713796482393,62.452382920793895,2.562455585311146,1.1054050932562662
2018,31.745345966632083,62.42569311614798,2.620222229740704,1.1054050932562662
