year,population
1975,416420.375063709
1980,428631.33535570226
1985,462089.2146823672
1990,493136.9231614388
1995,518886.74471104506
2000,534727.8956724277
2005,538363.2033802785
2010,530982.3293987969
2015,511820.64058333915
2020,496688.4459368059
2025,478107.60733512347
2030,461640.82962574204
